id,Country,Continent,fhs,gov,Capital,pnr,Topography,Climate,le,imr,pcod,GDPPC,cer,bmi,gdpg,ii,cpi,hioef,lr,Religions,Languages,Population
Angola,Angola,Africa,26/100 (2018),presidential republic,Luanda,"petroleum, diamonds, iron ore, phosphates, copper, feldspar, gold, bauxite, uranium",narrow coastal plain rises abruptly to vast interior plateau,"semiarid in south and along coast to Luanda; north has cool, dry season (May to October) and hot, rainy season (November to April)",60.2 years (2017),"67.6 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Diarrhoeal diseases, 3- Stroke, 4- Coronary Heart Disease, 5- HIV/AIDS (2017)","$6,800 2017 EST.",214.08 Kwanza to 1 U.S. Dollar (March 2018),No Data,1.6% (2017),42.7% (2008),18 and 164th/176 (2016),48.6 overall (2018),71.1% (2015),"Roman Catholic 41.1%, Protestant 38.1%, other 8.6%, none 12.3% (2014 est.)","Portuguese 71.2% (official), Umbundu 23%, Kikongo 8.2%, Kimbundu 7.8%, Chokwe 6.5%, Nhaneca 3.4%, Nganguela 3.1%, Fiote 2.4%, Kwanhama 2.3%, Muhumbi 2.1%, Luvale 1%, other 3.6% (2014 est.). note: most widely spoken languages; shares sum to more than 100% because some respondents gave more than one answer on the census","29,310,273 (July 2017)"
Tanzania,Tanzania,Africa,52/100 (2018),presidential republic,"Dodoma (legislative capital), Dar es Salaam (administrative capital); note - Dodoma was designated the national capital in 1996 and serves as the meeting place for the National Assembly; Dar es Salaam remains the de facto capital, the country's largest city and commercial center, and the site of the executive branch offices and diplomatic representation; the government contends that it will complete the transfer of the executive branch to Dodoma by 2020","hydropower, tin, phosphates, iron ore, coal, diamonds, gemstones, gold, natural gas, nickel","plains along coast; central plateau; highlands in north, south",varies from tropical along coast to temperate in highlands,62.6 years (2017),"39.9 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, 4- Coronary Heart Disease, 5- Diarrhoeal diseases (2017) ","$3,300 2017 EST.","2,261.15 Tanzanian Shillings to 1 U.S. Dollar (March 2018)",No Data,6.8% (2017),37.8% (2011),32 and 116th/176 (2016),59.9 overall (2018),77.9% (2015),"Christian 61.4%, Muslim 35.2%, folk religion 1.8%, other 0.2%, unaffiliated 1.4%. (2010). note: Zanzibar is almost entirely Muslim","Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages. note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages","53,950,935 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Burundi,Burundi,Africa,18/100 (2018),presidential republic,Bujumbura,"nickel, uranium, rare earth oxides, peat, cobalt, copper, platinum, vanadium, arable land, hydropower, niobium, tantalum, gold, tin, tungsten, kaolin, limestone","hilly and mountainous, dropping to a plateau in east, some plains","equatorial; high plateau with considerable altitude variation (772 m to 2,670 m above sea level); average annual temperature varies with altitude from 23 to 17 degrees Celsius but is generally moderate as the average altitude is about 1,700 m; average annual rainfall is about 150 cm; two wet seasons (February to May and September to November), and two dry seasons (June to August and December to January)",60.9 years (2017),"58.8 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Stroke, 3- Diarrhoeal Diseases, 4- Malnutrition, 5- Coronary Heart Disease (2017) ",$800 2017 EST.,"1,759.65 Burundi Francs to 1 U.S. Dollar (March 2018)",No Data,0.1% (2017),39.2% (2013),20 and 159th/176 (2016),50.9 overall (2018),85.6% (2015 est.),"Roman Catholic 62.1%, Protestant 23.9% (includes Adventist 2.3% and other Protestant 21.6%), Muslim 2.5%, other 3.6%, unspecified 7.9% (2008 est.)","Kirundi 29.7% (official), Kirundi and other language 9.1%, French (official) and French and other language 0.3%, Swahili and Swahili and other language 0.2% (along Lake Tanganyika and in the Bujumbura area), English (official) and English and other language 0.06%, more than 2 languages 3.7%, unspecified 56.9% (2008 est.) note: data represent language read and written by people 10 years of age or older; spoken Kirundi is widespread","11,466,756 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Kenya,Kenya,Africa,48/100 (2018),presidential republic,Nairobi,"limestone, soda ash, salt, gemstones, fluorspar, zinc, diatomite, gypsum, wildlife, hydropower",low plains rise to central highlands bisected by Great Rift Valley; fertile plateau in west,varies from tropical along coast to arid in interior,64.3 years (2017),"37.1 deaths/1,000 live births (2017)","1- Influenza and Penumonia, 2- HIV/AIDS, 3- Stroke, 4- Diarrhoeal diseases, 5- Malnutrition (2017)","$3,500 2017 EST.",101.31 Kenya Shillings to 1 U.S. Dollar (March 2018),No Data,5.5% (2017),47.7% (2005),26 and 145th/176 (2016),54.7 overall (2018),78% (2015),"Christian 83% (Protestant 47.7%, Catholic 23.4%, other Christian 11.9%), Muslim 11.2%, Traditionalists 1.7%, other 1.6%, none 2.4%, unspecified 0.2% (2009 est.)","English (official), Kiswahili (official), numerous indigenous languages","47,615,739 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Rwanda,Rwanda,Africa,23/100 (2018),presidential republic,Kigali,"gold, cassiterite (tin ore), wolframite (tungsten ore), methane, hydropower, arable land",mostly grassy uplands and hills; relief is mountainous with altitude declining from west to east,"temperate; two rainy seasons (February to April, November to January); mild in mountains with frost and snow possible",64.3 years (2017),"29.7 deaths/1,000 live births (2017)","1- Stroke, 2- Influenza and Pneumonia, 3- Coronary Heart Disease, 4- HIV/AIDS, 5- Diarrhoeal diseases (2017)","$2,100 2017 EST.",855.50 Rwanda Francs to 1 U.S. Dollar (March 2018),No Data,6.8% (2017),50.4% (2013),54 and 50th/176 (2016),69.1 overall (2018),70.5% (2015),"Protestant 50.2% (includes Adventist 12% and other Protestant 38.2%), Roman Catholic 44.3%, Muslim 2%, other 0.9% (includes traditionalist/animist), none 2.5%, unspecified <.1 (2002 est.)","Kinyarwanda (official, universal Bantu vernacular) 93.2%, French (official) <.1, English (official) <.1, Swahili (or Kiswahili, used in commercial centers) <.1, more than one language, other 6.3%, unspecified 0.3% (2002 est.)","11,901,484 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,Africa,16/100 (2018),semi-presidential republic,Kinshasa,"cobalt, copper, niobium, tantalum, petroleum, industrial and gem diamonds, gold, silver, zinc, manganese, tin, uranium, coal, hydropower, timber",vast central basin is a low-lying plateau; mountains in east,"tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October), dry season (December to February); south of Equator - wet season (November to March), dry season (April to October)",57.7 years (2017),"68.2 deaths/1,000 live births (2017)",,$800 2017 EST.,"1,615.00 Congolese Francs to 1 U.S. Dollar (March 2018)",No Data,3% (2017),42.1% (2012),21 and 156th/ 176 (2016),52.1 overall (2018),77% (2016),"Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10%","French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba","83,301,151 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Congo,Congo,Africa,20/100 (2018),presidential republic,Brazzaville,"petroleum, timber, potash, lead, zinc, uranium, copper, phosphates, gold, magnesium, natural gas, hydropower","coastal plain, southern basin, central plateau, northern basin",tropical; rainy season (March to June); dry season (June to October); persistent high temperatures and humidity; particularly enervating climate astride the Equator,59.8 years (2017),"54.9 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Coronary Heart Disease, 4- Influenza and Pneumonia, 5- Diarrhoeal diseases (2017)","$6,700 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,2.8% (2017),40.2% (2011),20 and 159th/176 (2016),38.9 overall (2018),79.3% (2015),"Roman Catholic 33.1%, Awakening Churches/Christian Revival 22.3%, Protestant 19.9%, Salutiste 2.2%, Muslim 1.6%, Kimbanguiste 1.5%, other 8.1%, none 11.3% (2010 est.)","French (official), Lingala and Monokutuba (lingua franca trade languages), many local languages and dialects (of which Kikongo is the most widespread)","4,954,674 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Gabon,Gabon,Africa,23/100 (2018),presidential republic,Libreville,"petroleum, natural gas, diamond, niobium, manganese, uranium, gold, timber, iron ore, hydropower",narrow coastal plain; hilly interior; savanna in east and south,"tropical; always hot, humid",52.1 years (2017),"44.1 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, 4- Coronary Heart Disease, 5- Malaria (2017)","$19,300 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,2.7% (2017),41.5% (2005),35 and 101st/176 (2016),58.0 overall (2018),83.2% (2015),"Roman Catholic 42.3%, Protestant 12.3%, other Christian 27.4%, Muslim 9.8%, animist 0.6%, other 0.5%, none/no answer 7.1% (2012 est.)","French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi","1,772,255 (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
Equitorial_Guinea,Equitorial_Guinea,Africa,7/100 (2018),presidential republic,Malabo; note - a new capital of Oyala is being built on the mainland near Djibloho; Malabo is on the island of Bioko,"petroleum, natural gas, timber, gold, bauxite, diamonds, tantalum, sand and gravel, clay",coastal plains rise to interior hills; islands are volcanic,"tropical; always hot, humid",64.6 years (2017),"65.2 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, 4-Coronary Heart Disease, Diarrhoeal diseases (2017)","$34,900 2017 EST.",531.07 Cooperation Financiere en Afrique Centrale francs to 1 U.S. Dollar (March 2018),No Data,-7.8% (2017),no data,No Data,42.0 overall (2018),95.3% (2015),"nominally Christian and predominantly Roman Catholic, pagan practices","Spanish (official) 67.6%, other (includes French (official), Fang, Bubi) 32.4% (1994 census)","778,358 (July 2017)"
Somalia,Somalia,Africa,7/100 (2018),federal parliamentary republic,Mogadishu,"uranium and largely unexploited reserves of iron ore, tin, gypsum, bauxite, copper, salt, natural gas, likely oil reserves",mostly flat to undulating plateau rising to hills in north,"principally desert; northeast monsoon (December to February), moderate temperatures in north and hot in south; southwest monsoon (May to October), torrid in the north and hot in the south, irregular rainfall, hot and humid periods (tangambili) between monsoons",52.8 years (2017),"94.8 deaths/1,000 live births (2017)","1- Influenza and Pneumonia, 2- Diarrhoeal diseases, 3- Tuberculosis, 4- Stroke, 5- Malnutrition (2017)",no data,577.00 Somali Shillings to 1 U.S. Dollar (March 2018),No Data,3.5% (2017),no data,10 and 176th/176 (2016),No Data,No Data,"Sunni Muslim (Islam) (official, according to the 2012 Transitional Federal Charter)","Somali (official, according to the 2012 Transitional Federal Charter), Arabic (official, according to the 2012 Transitional Federal Charter), Italian, English","11,031,386 (July 2017). note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare."
Ethiopia,Ethiopia,Africa,12/100 (2018),federal parliamentary republic,Addis Ababa,"small reserves of gold, platinum, copper, potash, natural gas, hydropower",high plateau with central mountain range divided by Great Rift Valley,tropical monsoon with wide topographic-induced variation,62.6 years (2017),"49.6 deaths/1,000 live births (2017)","1- Influenza and Penumonia, 2- Stroke, 3- HIV/AIDS, 4- Diarrhoeal diseases, 5- Malnutrition (2017)","$2,100 2017 EST.",27.57 Birr to 1 U.S. Dollar (March 2018),No Data,8.5% (2017),33.3% (2010),34 and 108th/176 (2016),52.8 overall (2018),49.1% (2015),"Ethiopian Orthodox 43.5%, Muslim 33.9%, Protestant 18.5%, traditional 2.7%, Catholic 0.7%, other 0.6% (2007 est.)","Oromo (official working language in the State of Oromiya) 33.8%, Amharic (official national language) 29.3%, Somali (official working language of the State of Sumale) 6.2%, Tigrigna (Tigrinya) (official working language of the State of Tigray) 5.9%, Sidamo 4%, Wolaytta 2.2%, Gurage 2%, Afar (official working language of the State of Afar) 1.7%, Hadiyya 1.7%, Gamo 1.5%, Gedeo 1.3%, Opuuo 1.2%, Kafa 1.1%, other 8.1%, English (major foreign language taught in schools), Arabic (2007 est.)","105,350,020 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
South_Sudan,South_Sudan,Africa,2/100 (2018),presidential republic,Juba,"hydropower, fertile agricultural land, gold, diamonds, petroleum, hardwoods, limestone, iron ore, copper, chromium ore, zinc, tungsten, mica, silver","plains in the north and center rise to southern highlands along the border with Uganda and Kenya; the White Nile, flowing north out of the uplands of Central Africa, is the major geographic feature of the country; The Sudd (a name derived from floating vegetation that hinders navigation) is a large swampy area of more than 100,000 sq km fed by the waters of the White Nile that dominates the center of the country",hot with seasonal rainfall influenced by the annual shift of the Inter-Tropical Convergence Zone; rainfall heaviest in upland areas of the south and diminishes to the north,no data,"62.8 deaths/1,000 live births (2017)",,"$1,500 2017 EST.",130.26 South Sudanese Pounds to 1 U.S. Dollar (March 2018),No Data,-3.4% (2017),45.5% (2009),11 and 175th/176 (2016),No Data,27% (2009),"animist, Christian","English (official), Arabic (includes Juba and Sudanese variants), regional languages include Dinka, Nuer, Bari, Zande, Shilluk","13,026,129 (July 2017)"
Nigeria,Nigeria,Africa,50/100 (2018),federal presidential republic,Abuja,"natural gas, petroleum, tin, iron ore, coal, limestone, niobium, lead, zinc, arable land","southern lowlands merge into central hills and plateaus; mountains in southeast, plains in north","varies; equatorial in south, tropical in center, arid in north",53.8 years (2017),"69.8 deaths/1,000 live births (2018)","1- Influenza and Pneumonia, 2- HIV/AIDS, 3- Stroke, 4- Coronary Heart Disease, 5- Diarhoeal diseases (2017)","$5,900 2017 EST.",361.00 Nairas to 1 U.S. Dollar (March 2018),No Data,1.9% (2017),43% (2009),28 and 136th/176 (2016),58.5 overall (2018),59.6% (2015),"Muslim 50%, Christian 40%, indigenous beliefs 10%","English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages","190,632,261 (July 2017). note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected."
